,chart_img,caption,label,claim,explanation
15,https://chartfc.s3.amazonaws.com/Our_main_purpose_550x413px.jpg,Our main Purpose,TRUE,"The main purposes are equally educational, political, social, economic and legal missions. ","The pie chart with meaning the main purpose divided between 5 almost equal shares - educational, political, social, economic and legal missions. "
16,https://chartfc.s3.amazonaws.com/US_male_arrests_for_rape_by_age.png,Arrest rate in the United States of males in 2014 for rape by age. Data from UCR,FALSE,65 year olds commit rape more often than 21 year olds.,The line indicating the amount of rapes 65 year olds commit is shorter than the line for 21 year olds.
17,https://chartfc.s3.amazonaws.com/2018_%2526_2017_Profile_of_US_Electric_Energy_Generation_from_Hydro.jpg,2018 & 2017 Profile of US Electric Energy Generation from Hydro,FALSE,SEptember 2017 is represented by a blue bar on the graph.  ,"This is false, 2018 is represented as a blue bar while 2017 is represented by a grey bar"
18,https://chartfc.s3.amazonaws.com/Question11ChartExport.png,"Responses to Question 11 of Bookshelf Production Survey
outreach:Category:Images",TRUE,"We can get printing donated only for 7,7% materials. ","Donated printing is mentioned on chart in orange color and mean 7,7%. "
19,https://chartfc.s3.amazonaws.com/US_male_arrests_for_vagrancy_by_age.png,Arrests in the United States of males for vagrancy in 2014 by age. Data from UCR,FALSE,There were less 21 year old male vagrancy arrests in the US in 2014 than 18 year old males.,"Based on the bar chart for Arrests in the United States of males for vagrancy in 2014 , the bar for 8year old male is shorter than the bar for 21 year old males.. This confirms that there were less 18 year old male vagrancy arrests in the US in 2014 than 21 year old males."
20,https://chartfc.s3.amazonaws.com/FOIR_information_quality_features.png,Visualization of findings from Student free online resource survey. Generated with Python and MatPlotLib.,TRUE,Accurate rates very important when you decides to use free online resource.,"The chart shows that accurate with the highest percentage, rates very important when you decides to use free online resource."
21,https://chartfc.s3.amazonaws.com/FOIR_information_quality_features.png,Visualization of findings from Student free online resource survey. Generated with Python and MatPlotLib.,TRUE,Accuracy is the major factor influencing students choice of free online survey.,"The claim is true as seen in the bar chart, the highest bar corresponds to 'accurate' on horizontal axis."
22,https://chartfc.s3.amazonaws.com/FOIR_information_quality_features.png,Visualization of findings from Student free online resource survey. Generated with Python and MatPlotLib.,TRUE,Being accurate is the most important factor when deciding which free online resource to use.,"The bar that corresponds to ""accurate"" is higher than any other reason, indicating it is the most important factor on the graph.  "
23,https://chartfc.s3.amazonaws.com/Bar_Chart.png,Chart,TRUE,"In the Round-2, closely 16 lacs family enrolled.",The Round-2 mentioned in yellow colour at the second of the list which indicate closely to the 16 lacs in the bar chart.
24,"https://chartfc.s3.amazonaws.com/Wikipedia_top_25_week_June_3_June_9,_2018.png","Wikipedia top 25 articles for the week June 3 June 9, 2018",FALSE,"The Wikipedia article with the most pageviews for the week of June 3-9, 2018 was about Katy Spade.",According to the chart the longest bar marked as Anthony Bourdain while Katy Spade article has only second place.
25,"https://chartfc.s3.amazonaws.com/Wikipedia_top_25_week_June_3_June_9,_2018.png","Wikipedia top 25 articles for the week June 3 June 9, 2018",FALSE,"Article about Deadpool 2 has the lowest pageviews for the week of June 3-9, 2018.","Article about Jacob Elordi has the lowest pageviews (462,812 views) for the week of June 3-9, 2018."
26,https://chartfc.s3.amazonaws.com/Super_Radiance_graph.png,"Graph of data from http://invincibleamerica.org/tallies.html https://www.webcitation.org/60HaKEXpE, showing the evening Super Radiance attendance figures at Fairfield, Iowa's Golden domes and Flying Halls in nearby Maharishi Vedic City. The data is from January 2007 to June 2011.",TRUE,The attendance figures at Fairfield and Maharishi Vedic City increased from January 2007 to June 2011.,"The chart shows a consistent upward trend in attendance figures from January 2007 to June 2011, indicating that the numbers increased over that four-and-a-half year period. It is clear from the data that the attendance figures rose steadily, with no significant drops or periods of stagnation."
27,https://chartfc.s3.amazonaws.com/Structured_Media_Commons_Survey_2017_Findings_-_Justification_of_Tool_Used.png,Findings from GLAM Structured Media Commons survey.,TRUE,Users voted that the reason they used the tool was because of Ease of Use.,Ease of use is marked in the yellow on the chart. It has the highest amount recorded out of all the options. It has 50 points.
28,https://chartfc.s3.amazonaws.com/WM_5.png,Community perspectives on Wikimedia,FALSE,Community members are concerned with the diversity of the Wikimedia leadership.,"This claim is false as the chart shows that a significant percentage of community members are either ""Moderately concerned"" (31%) or ""Very concerned"" (27%) with the diversity of Wikimedia leadership. Only a small percentage of respondents are ""at all concerned"" (7%) or ""Slightly concerned"" (12%) with this issue."
29,"https://chartfc.s3.amazonaws.com/Most_Popular_Wikipedia_Articles_of_the_Week_(April_15_to_21,_2018).png","Visualization of The
Most Popular Wikipedia Articles of the Week (April 15 to 21, 2018)

Horizontal barchart made with Python and the matplotlib library.",TRUE,The article about the Swedish DJ Avicii was the most popular article of the week.,"The chart shows that the article about Avicii had the highest bar on the chart, which indicates that it was the most popular article of the week."
30,"https://chartfc.s3.amazonaws.com/Vote_share_in_Uttar_Pradesh_elections,_2012_partywise.png","The image is a pie-chart showing vote percentages party wise in Uttar Pradesh elections, 2012.",FALSE,BSP has minimum percentage of votes in 2012 UP elections. ,BSP has maximum percentage of votes in 2012 UP elections which is 25.91%.
31,https://chartfc.s3.amazonaws.com/Occupation_chart_1881_.jpg,"A comparison of Male and Female occupations in Darenth, 1881",FALSE,Due to occupational structure on the chart in Darenth in 1881 was more unemployed women than men. ,On the chart male workers marked in green and female workers in blue. In the unemployment line blue block is longer than green. 
32,https://chartfc.s3.amazonaws.com/Strain_Energy_as_a_function_of_ring_size.jpg,The strain on cycloalkanes increases significantly among medium-sized rings.,FALSE,The strain on cycloalkanes is high in large rings compared to small and medium-sized rings.,"The chart and caption that the strain on cycloalkanes increases with increasing ring size this reaches a peak in medium-sized rings, and then decreases for large rings, the claim is false."
33,https://chartfc.s3.amazonaws.com/CCC_Gender.jpg,"
http://www.cccco.edu/ChancellorsOffice/Divisions/TechResearchInfo/MIS/DataMartandReports/tabid/282/Default.aspx | Chancellor's Office | Data Mart",TRUE,More than half of California Community College System students in 2010 were female.,"The chart shows that 53.6% of the students were female, which is more than half."
34,https://chartfc.s3.amazonaws.com/Aerodynamic_relations_for_delta_wings_1.jpg,Relation b/w A and Λ for delta wings,FALSE, The lift coefficient is high at a 0-degree angle of attack for delta wings.," The chart shows that the lift coefficient is  high at 0 degrees angle of attack, expand  the angle of attack expand , reaching its peak at 20-25 degrees angle of attack for delta wings."
35,https://chartfc.s3.amazonaws.com/New_Zealand_Revenue_2005-06.png,Pie chart showing revenue to the New Zealand Government in 2005-06 tax year.,TRUE,Individual income taxes made up the bulk of New Zealand's Crown Revenue in 2005-2006.,The largest portion of the pie chart is for Individual income taxes.  
36,https://chartfc.s3.amazonaws.com/2009_US_Nuclear_Power_Reactors_Uranium_Sources.png,"Uranium Purchased by Owners and Operators of U.S. Civilian Nuclear Power Reactors in 2009, by Country. 
Source of information: www.eia.gov/cneaf/nuclear/umar/table3.html",TRUE,More uranium was purchased by Australia than Russia.,The Australia section of the chart is light blue and larger than the Russia section which is red.
37,https://chartfc.s3.amazonaws.com/PPTSuperComputersPRINT.jpg,"
Growth in SuperComputer Power",TRUE,Earth simulator plotted between 2000 to 2005.,The Ninth black colour dot from left denotes the Earth simulator in the graph Growth in Super Computer Power.
38,https://chartfc.s3.amazonaws.com/ALECrevenue2009.jpg,Chart created from data found in the 2009 ALEC I.R.S. form 990,TRUE,ALEC revenue chart has only four options to be shown in shares. ,ALEC revenue chart divided into 4 shares and colored in different colors.
39,"https://chartfc.s3.amazonaws.com/Industrial_waste_generation_and_accumulation_in_Kazakhstan_as_of_November_12,_2012.jpg","Industrial waste generation and accumulation in Kazakhstan as of November 12, 2012",TRUE,Industrial waste accumulation increased in Kazakhstan between 2006 and 2012.," Based on the caption, the chart shows the industrial waste generation and accumulation in Kazakhstan as of November 12, 2012. The chart displays a trend of increasing industrial waste accumulation from 2006 to 2012, which supports the claim."
40,https://chartfc.s3.amazonaws.com/20210823_Survey_of_top_climate-related_concerns_in_Europe_-_European_Investment_Bank.png,"
 General concept above; examples below.
Warming stripes (composite)Warming stripes bar chart
Bar chart (vertical)Pie chart
Line chartsScatterplot
I've uploaded .xlsx (Microsoft Excel) spreadsheets that automatically generate XML code for charts in SVG format.
You simply paste or enter your data into the spreadsheet, and specify image dimensions, number of grid lines, font sizes, etc. The spreadsheet instantly and automatically generates a column of XML code that you simply copy and paste into a text editor and save as an "".svg"" file. The spreadsheets produce lean SVG code, avoiding the ""extra stuff"" that Inkscape inserts. They should save you time in creating SVG charts.
Feedback and suggestions on my talk page are welcome. RCraig09 (talk) 23:41, 19 February 2021 (UTC)

Click HOW TO for detailed explanation.
Click HERE to download spreadsheets.
Example SVG files: Category:SVG diagrams created with spreadsheet.
Warming stripes — Accepts a single dataset and converts to SVG code portraying Ed Hawkins' warming stripes graphics. User chooses vertical or horizontal stripes; normal or reverse data ordering; or from a variety of geometric shapes (updated 4 June 2021). . . . . Click here to see examples of warming stripes embedded in different shapes.
Warming stripes bar chart — Accepts a single dataset and creates a conventional bar chart whose individual bars/columns are coloured according to Dr. Hawkins' warming stripes colour scheme. Alternate option: choose one colour for ascending bars and another colour for descending bars. (updated 27 Jan 2022)
Line charts — Accepts up to five datasets. (updated 25 Jan 2022)
Vertical bar charts (column charts) — Accepts up to six datasets. Toggle between clustered and stacked charts; user can adjust ""Yfloor""—the Y level (usually=0) from which columns rise or fall; user chooses to keep or ignore negative input values. (updated 14 May 2022)
Horizontal bar charts — Accepts up to six datasets. Toggle between clustered and stacked charts; user can adjust ""Yfloor""—the value (usually=0) from which bars extend; user chooses to keep or ignore negative input values. (updated 27 Jan 2022)
Scatter plots — Accepts up to five datasets. (updated 25 Jan 2022)
Pie charts — Accepts a single dataset of up to 36 items. (updated 7 Oct 2022)

",TRUE,"According to the EU survey on climate related concerns, highest number of respondents voted for natural disasters.","According to the chart, the longest bar belongs to the 'Natural disasters'."
41,https://chartfc.s3.amazonaws.com/20210823_Survey_of_top_climate-related_concerns_in_Europe_-_European_Investment_Bank.png,"
 General concept above; examples below.
Warming stripes (composite)Warming stripes bar chart
Bar chart (vertical)Pie chart
Line chartsScatterplot
I've uploaded .xlsx (Microsoft Excel) spreadsheets that automatically generate XML code for charts in SVG format.
You simply paste or enter your data into the spreadsheet, and specify image dimensions, number of grid lines, font sizes, etc. The spreadsheet instantly and automatically generates a column of XML code that you simply copy and paste into a text editor and save as an "".svg"" file. The spreadsheets produce lean SVG code, avoiding the ""extra stuff"" that Inkscape inserts. They should save you time in creating SVG charts.
Feedback and suggestions on my talk page are welcome. RCraig09 (talk) 23:41, 19 February 2021 (UTC)

Click HOW TO for detailed explanation.
Click HERE to download spreadsheets.
Example SVG files: Category:SVG diagrams created with spreadsheet.
Warming stripes — Accepts a single dataset and converts to SVG code portraying Ed Hawkins' warming stripes graphics. User chooses vertical or horizontal stripes; normal or reverse data ordering; or from a variety of geometric shapes (updated 4 June 2021). . . . . Click here to see examples of warming stripes embedded in different shapes.
Warming stripes bar chart — Accepts a single dataset and creates a conventional bar chart whose individual bars/columns are coloured according to Dr. Hawkins' warming stripes colour scheme. Alternate option: choose one colour for ascending bars and another colour for descending bars. (updated 27 Jan 2022)
Line charts — Accepts up to five datasets. (updated 25 Jan 2022)
Vertical bar charts (column charts) — Accepts up to six datasets. Toggle between clustered and stacked charts; user can adjust ""Yfloor""—the Y level (usually=0) from which columns rise or fall; user chooses to keep or ignore negative input values. (updated 14 May 2022)
Horizontal bar charts — Accepts up to six datasets. Toggle between clustered and stacked charts; user can adjust ""Yfloor""—the value (usually=0) from which bars extend; user chooses to keep or ignore negative input values. (updated 27 Jan 2022)
Scatter plots — Accepts up to five datasets. (updated 25 Jan 2022)
Pie charts — Accepts a single dataset of up to 36 items. (updated 7 Oct 2022)

",TRUE,Natural disasters related climate change was the topmost concern among the EU survey respondents. ,"As per the bar chart for the climate change related concerns based on the EU survey, the red bar for natural disasters is the longest making the claim true."
42,https://chartfc.s3.amazonaws.com/20210823_Survey_of_top_climate-related_concerns_in_Europe_-_European_Investment_Bank.png,"
 General concept above; examples below.
Warming stripes (composite)Warming stripes bar chart
Bar chart (vertical)Pie chart
Line chartsScatterplot
I've uploaded .xlsx (Microsoft Excel) spreadsheets that automatically generate XML code for charts in SVG format.
You simply paste or enter your data into the spreadsheet, and specify image dimensions, number of grid lines, font sizes, etc. The spreadsheet instantly and automatically generates a column of XML code that you simply copy and paste into a text editor and save as an "".svg"" file. The spreadsheets produce lean SVG code, avoiding the ""extra stuff"" that Inkscape inserts. They should save you time in creating SVG charts.
Feedback and suggestions on my talk page are welcome. RCraig09 (talk) 23:41, 19 February 2021 (UTC)

Click HOW TO for detailed explanation.
Click HERE to download spreadsheets.
Example SVG files: Category:SVG diagrams created with spreadsheet.
Warming stripes — Accepts a single dataset and converts to SVG code portraying Ed Hawkins' warming stripes graphics. User chooses vertical or horizontal stripes; normal or reverse data ordering; or from a variety of geometric shapes (updated 4 June 2021). . . . . Click here to see examples of warming stripes embedded in different shapes.
Warming stripes bar chart — Accepts a single dataset and creates a conventional bar chart whose individual bars/columns are coloured according to Dr. Hawkins' warming stripes colour scheme. Alternate option: choose one colour for ascending bars and another colour for descending bars. (updated 27 Jan 2022)
Line charts — Accepts up to five datasets. (updated 25 Jan 2022)
Vertical bar charts (column charts) — Accepts up to six datasets. Toggle between clustered and stacked charts; user can adjust ""Yfloor""—the Y level (usually=0) from which columns rise or fall; user chooses to keep or ignore negative input values. (updated 14 May 2022)
Horizontal bar charts — Accepts up to six datasets. Toggle between clustered and stacked charts; user can adjust ""Yfloor""—the value (usually=0) from which bars extend; user chooses to keep or ignore negative input values. (updated 27 Jan 2022)
Scatter plots — Accepts up to five datasets. (updated 25 Jan 2022)
Pie charts — Accepts a single dataset of up to 36 items. (updated 7 Oct 2022)

",TRUE,The migrant is the smallest one in Percent of respondents.,"Based on the chart, The first bar from below represent migrant and it is the smallest one, which indicates below 20."
43,https://chartfc.s3.amazonaws.com/Charts_(2).png,Charts 2.,FALSE,Pet ownership decreased between 2010 and 2020.,"The chart clearly shows that the number of pets in households increased from 25 million in 2010 to 31 million in 2020, indicating an overall rise in pet ownership over the 10-year period."
44,https://chartfc.s3.amazonaws.com/Sudtiroler_bergturnfest_athletes_statistics.png,"Athletes Participation Statistics, Sudtiroler Bergturnfest, Brixen, South Tyrol, Italy",TRUE,The highest number of Athletes Participation in Sudtiroler Bergturnfest was in 1985/1986.,According to the chart the highest bars referred to 1985/1986 years in Sudtiroler Bergturnfest. 
45,https://chartfc.s3.amazonaws.com/Sudtiroler_bergturnfest_athletes_statistics.png,"Athletes Participation Statistics, Sudtiroler Bergturnfest, Brixen, South Tyrol, Italy",TRUE,The chart is represented using blue color bars and yellow color bars as shown ,There is no representation of gymnastics in the chart because it's not seen but the chart has blue and yellow bars
46,https://chartfc.s3.amazonaws.com/Esopus_Creek_hurricane_irene_usgs.png,"Graph of United States Geological Survey discharge in cubic feet/sec recorded every 15 minutes on the Esopus Creek near Coldbrook, NY, USA, during the week in August 2011 when Tropical Storm Irene passed over",FALSE,"The top raise of the discharge is 10000 during the period Aug 28,2011.","The blue line indicate the discharge flow which is raised at the top of 80000 during Aug 28,2011."
47,https://chartfc.s3.amazonaws.com/UStaxprogressivity.png,I created this image using Excel & Photoshop based on data and an image (that looks similar) at http://www.fairtax.org/PDF/ResponseToFactCheck-UnspinningTheFairTax.png,FALSE,Individual income tax has zero contribution to progressivity.,"As can be seen in the bar chart, individual income tax is second to estate and gift tax in terms of contributing to progressivity."
48,https://chartfc.s3.amazonaws.com/Distr-routes.jpg,Distribution of shipments by routes,TRUE,The Turkey-Russia is the leading in the Distribution of shipments by routes,The Turkey-Russia is 77% in the Distribution of shipments by routes so that is leading
49,https://chartfc.s3.amazonaws.com/Hubbard_County_MN_Pie_Chart_New_Wiki_Version.png,Pie Chart shows native vegetation for Hubbard County Minnesota.,TRUE,The pie chart depicts the comparison between the contribution of different types of vegetation to native vegetation for Hubbard County Minnesota.,"As seen in the pie chart, different types of vegetation are represented by different colours, and they have different shares and percentages."
50,"https://chartfc.s3.amazonaws.com/Graph_showing_the_occupational_structure_in_Woodlands,_Dorset_in_1881.jpg","Graph showing the occupational structure in Woodlands, Dorset in 1881, as reported by the Census of Population in 1881",TRUE,"Highest male engaged in agriculture sector in occupational structure in Woodlands, Dorset in 1881 ",Blue bar  which shows 70 male people belongs to Agriculture sector
51,https://chartfc.s3.amazonaws.com/Kashmiri_Gender_Wikiproject.png,Data is from toolserver and was gather on 29 December 2011. It shows differences in accounts on wiki projects in the language referenced in the file name where users explicitly state their gender.  (This is not all users on a project.),FALSE,Users on projects explicitly stated their gender as both male and female.,The chart shows no users on projects stated their gender as female.
52,https://chartfc.s3.amazonaws.com/FOIR_finding_patterns.png,Visualization of findings from Student free online resource survey. Generated with Python and MatPlotLib.,TRUE,The search bar is above the frequently(4).,The Search bar is the biggest bar that is above the frequently(4).
53,https://chartfc.s3.amazonaws.com/FOIR_finding_patterns.png,Visualization of findings from Student free online resource survey. Generated with Python and MatPlotLib.,TRUE,The highest number of students use free online resource for searching.,"According to the chart, The third bar which is the tallest represents the search."
54,"https://chartfc.s3.amazonaws.com/1950-_High_tide_flooding,_by_year_-_NOAA_tide_gauges_(U.S.).png","Vertical bar chart showing high tide flooding incidents, by year from 1950-, measured by NOAA tide gauges around the U.S.
Data source: Sweet, William V.; Dusek, Greg; Obeysekera, Jayantha; Marra, John J. Patterns and Projections of High Tide Flooding Along the U.S. Coastline Using a Common Impact Threshold. tidesandcurrents.NOAA.gov 4. National Oceanographic and Atmospheric Administration (NOAA) (February 2018). Archived from the original on 15 October 2022. ""Fig. 2b""
Most of the SVG code in this chart was automatically generated using the Vertical Bar Chart spreadsheet linked at User:RCraig09/Excel to XML for SVG. Uploader nudged and re-colored certain text manually, using a text editor.




This SVG file contains embedded text that can be translated into your language, using any capable SVG editor, text editor or the SVG Translate tool. For more information see: About translating SVG files.",TRUE,"In the 1950s, the number of annual flooding incidents never exceeded 100.","In the 1950s, the annual flooding incidents never went beyond the 100 threshold."
55,https://chartfc.s3.amazonaws.com/FOIR_survey_student_enrollment_status.png,Visualization of findings from Student free online resource survey. Generated with Python and MatPlotLib.,FALSE,undergraduate-junior is in the second position along with undergraduate-freshman in the free online resource survey.,undergraduate-sophomore and undergraduate-freshman both are in the second position in the free online resource survey.
56,https://chartfc.s3.amazonaws.com/BBC_Breakdown_of_Income.jpg,BBC Breakdown of Income,FALSE,BBC's income has decreased significantly over the past decade.,"The chart shows a gradual increase in BBC's income from 2007/2008 to 2017/2018, indicating that the claim is false."
57,https://chartfc.s3.amazonaws.com/Languages.png,Pie chart of world languages by percentage of speakers,FALSE,In world languages Austronesian languages are mentioned in 1%.,The mild pink colour indicated in Austronesian languages which represents 5% of speakers in world languages.
58,https://chartfc.s3.amazonaws.com/Budget-of-the-government-of-puerto-rico-2011-percent.png,2011 Budget of the Government of Puerto Rico,FALSE,"In 2011 Budget of the Government of Puerto Rico, Federal government contribution was the lowest.","The claim is false, as seen in the pie chart, Federal government depicted in red has the second largest contribution of 25%."
59,https://chartfc.s3.amazonaws.com/Budget-of-the-government-of-puerto-rico-2011-percent.png,2011 Budget of the Government of Puerto Rico,FALSE,The main part of budget of the Government of Puerto Rico in 2011 was Public improvements fund. ,According to the pie chart Public improvements fund marked in green is the least and take only 1% value. 
60,https://chartfc.s3.amazonaws.com/Sparql-result-format-barchart.png,sparql result format - barchart example wikidata,FALSE,US is the second most populated country in the world.,"The claim is false because in the chart, the second tallest bar belongs to India, and the third to US."
61,https://chartfc.s3.amazonaws.com/Domestic_End_Uses_of_Water.jpg,Pie chart showing gallons and percent of water use,TRUE,The toilet shows the highest percentage of water use 24%.,The chart shows that the blue color which represents the toilet is the highest.
62,https://chartfc.s3.amazonaws.com/2011_Occupation_Graph.jpg,A graph showing occupations of residents of Quenington in 2011 according to the Neighbourhood Statistics website,FALSE,There are no residents in Quenington working in skilled trades.," The chart shows a bar for skilled trades, indicating that there are residents in Quenington working in this occupation. Therefore, the claim is false."
63,https://chartfc.s3.amazonaws.com/Graph_male_female_OT.JPG,Pie chart representation of the amount of male occupational therapists to female occupational therapists.,TRUE,The maximum amount of female occupational therapists occupied in 2008.,Below the chart illustrated the ratio of male and female occupational therapists is 24:1. so the female therapists were maximum.
64,https://chartfc.s3.amazonaws.com/Grafica.jpg,"
grafica",TRUE,In  non-linear structural analysis r and Q are the two attributes in the grafica.,"In the graph the horizontal axis mentioned by r1 to r2  commonly named r and the vertical axis mentioned by Q, Qmax and Q desnudo."
65,https://chartfc.s3.amazonaws.com/Cotesbach_1881_Census_Occupations.png,"The occupations of residents of Cotesbach Civil Parish, Leicestershire, as reported by the Census of Population from 1881.",TRUE,Agriculture was the most common occupation in Cotesbach Civil Parish in 1881.,"The chart shows that the largest bar is for the ""Agriculture"" occupation."
66,https://chartfc.s3.amazonaws.com/Graphkaratsuba.gif,time complexity karatsuba algorithm compare with school algorithm,TRUE,Karatsuba scoring the least times of algorithm in this graph chart.,Blue color stands for Karatsuba and that is scoring the least times of algorithm in this graph chart.
67,https://chartfc.s3.amazonaws.com/PBB_GE_LCK_204891_s_at_fs.png,"This file has no description, and may be lacking other information.
Please provide a meaningful description of this file.

",FALSE,The CD4_Tcells has a lower value than the whole blood on the y axis.,Based on the bar chart for 204891_S_ the light green bar for the whole blood has a shorter height than the light green bar for CD4_Tcells. This refutes the claim that the CD4_Tcells has a lower value than the whole blood on the y axis.
68,https://chartfc.s3.amazonaws.com/TurkishVocabulary.png,Pie-chart showing the origin of the words in Turkish vocabulary.,TRUE,Turkish vocabulary contains words from a variety of origins.,"The pie chart displays different origins of words in Turkish vocabulary, with each segment representing a percentage of the total. This words in Turkish vocabulary come from diverse origins."
69,https://chartfc.s3.amazonaws.com/Florida_Electricity_Generation_Sources_Pie_Chart.png,"Pie chart showing sources of generation for Florida. In contrast to its moniker, the 'sunshine state' has almost no utility scale solar power.",FALSE,Florida generates the most electricity from coal.,"The chart shows that coal is responsible for 16.6% of the electricity generation in Florida, which is a small amount compared to natural gas 66.4%. "
70,https://chartfc.s3.amazonaws.com/Florida_Electricity_Generation_Sources_Pie_Chart.png,"Pie chart showing sources of generation for Florida. In contrast to its moniker, the 'sunshine state' has almost no utility scale solar power.",FALSE,Florida generates majority of the electricity from coal.,"The pie chart shows that coal accounts for only 16.6% of the electricity generation in Florida, which is a small amount compared to natural gas (66.4%). Therefore, the claim is false."
71,https://chartfc.s3.amazonaws.com/LowerKlamathHabitats.png,"
Lower Klamath National Wildlife Refuge Habitats

Description: Lower Klamath National Wildlife Refuge habitats pie chart
Date: 2006.01:03
Software: Microsoft Excel 2004 v.11.2
Creator: Walter Siegmund
©2006 Walter Siegmund",TRUE,"In 2006, Marshlands constituted the major part of Lower Klamath National Wildlife Refuge Habitats.","The claim is true as can be seen in the chart that in 2006, the major share belonged to marshlands."
72,https://chartfc.s3.amazonaws.com/MirOrbitalManoeuvres.png,A graph showing the apogee and perigee of the Soviet/Russian space station Mir from its launch on 19 February 1986 until its deorbiting on 23 March 2001.,TRUE,The apogee and perigee of Mir gradually decreased over time.,"The chart shows a clear trend of decreasing apogee and perigee values over time, which supports the claim."
